大陆频道,#genre# 
CCTV-7国防军事,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/1.m3u8
CCTV-9纪录,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV-10科教,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV-11戏曲,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV-12社会与法,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225599/1.m3u8
CCTV-14少儿,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
CCTV-15音乐,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8
CCTV-17农村农业,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
CGTN,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225867/1.m3u8
CGTN记录,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225866/1.m3u8
湖南卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8
浙江卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8
江苏卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8
东方卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8
山东卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226308/1.m3u8
北京卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
辽宁卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226336/1.m3u8
黑龙江卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8
广东卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8
安徽卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8
深圳卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8
天津卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8
重庆卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226337/1.m3u8
东南卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225876/1.m3u8
广西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8
河北卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8
河南卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8
湖北卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8
江西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8
吉林卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8
山西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8
陕西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
甘肃卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8
四川卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225898/1.m3u8
云南卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225902/1.m3u8
